word,hint,difficulty
ATLANTA,The capital and largest city of Georgia,easy
ATLANTIC,The second largest ocean separating the Americas from Europe,easy
ATLAS,A collection of maps,easy
ATOLL,Ring-shaped coral reef,hard
ATROPHY,Gradual wasting away of a body part or ability,hard
AUCKLAND,New Zealand's largest city known as the City of Sails,hard
AUDACIOUS,Showing a willingness to take bold risks,hard
AUDIENCE,The group of people watching a performance,easy
AUDITION,A trial performance used to assess a performer,easy
AUDITORIUM,The part of a theatre where the audience sits,hard
AUGUST,The eighth month of the year,easy
AURORA,Natural light display in the polar sky,hard
AUSTIN,The Live Music Capital of the World and capital of Texas,easy
AUTUMN,The season when leaves fall,easy
AVALANCHE,A mass of snow rapidly sliding down a mountain,hard
AVARICE,Extreme greed for wealth or gain,hard
AVIARY,A large enclosure for keeping birds,hard
AXOLOTL,Regenerating aquatic salamander,hard
BACKDROP,A painted cloth hung at the back of a stage,easy
BACKPACK,Bag worn on the back,easy
BACKSTAGE,The area of a theatre not visible to the audience,easy
BACTERIA,Microscopic single-celled organisms found everywhere,easy
BADMINTON,Racket sport played with a shuttlecock over a net,hard
BAKERY,A shop where bread; cakes; and pastries are made and sold,easy
BALCONY,A platform projecting from a wall of a building,easy
BALL,A round object used in many sports,easy
BALLET,Classical dance form performed on the tips of the toes,easy
BALLOON,Inflatable rubber toy or aircraft,easy
BALLOT,Method of voting,easy
BANANA,A long curved yellow tropical fruit,easy
BANDWIDTH,The maximum rate of data transfer in a network,hard
BANGKOK,The bustling capital city of Thailand,easy
BANNER,Flag or sign,easy
BARBIE,Iconic fashion doll created by Mattel,easy
BARITONE,A male singing voice between tenor and bass,hard
BAROMETER,An instrument that measures atmospheric pressure,hard
BARTER,Exchange goods without money,easy
BASALT,Dark volcanic rock,hard
BASHFUL,Reluctant to draw attention to oneself; shy,easy
BASIL,A fragrant herb used in cooking,easy
BAT,A wooden or metal club used to hit a ball in baseball,easy
BATH,A large container filled with water for washing,easy
BATMAN,The Dark Knight of Gotham,easy
BATTERY,A device that stores and supplies electrical energy,easy
BAYOU,A slow-moving marshy outlet of a lake or river,hard
BEACH,Sandy area where the ocean meets the land,easy
BEACON,A fire or light used as a signal,easy
BEE,Striped insect that produces honey,easy
BEETLE,An insect with hard wing covers,easy
BELIE,Fail to give a true impression of something,hard
BELLICOSE,Demonstrating aggression and willingness to fight,hard
BELLIGERENT,Hostile and aggressive,hard
BENEVOLENT,Well meaning and kindly,hard
BERLIN,Capital city of Germany,easy
BERYL,Mineral used as a gemstone,hard
BEYONCE,Grammy-winning Queen Bey of pop,easy
BICYCLE,Two-wheeled pedal-powered vehicle,easy
BILL,The statement of the amount owed after a meal,easy
BINGE,Watching many episodes of a series in one sitting,easy
BIODIVERSITY,Variety of life in an area,hard
BIOLOGY,The study of living organisms,easy
BIRD,A feathered winged animal that lays eggs,easy
BIRTHDAY,The annual anniversary of the day someone was born,easy
BISCUIT,A small baked bread or cookie,easy
BISON,Large shaggy mammal,easy
BITTER,Having a sharp unpleasant taste,easy
BLADE,The flat cutting edge of a knife or tool,easy
BLIGHT,A plant disease causing widespread damage,hard
BLIZZARD,A severe snowstorm with strong winds,easy
BLOCKBUSTER,A very successful high-budget commercial film,easy
BLOG,A regularly updated website written in an informal style,easy
BLOGGER,A person who writes and maintains an online journal,easy
BLOSSOM,A flower or a mass of flowers on a tree,easy
BLUEPRINT,A detailed architectural plan or design,hard
BLUFF,Steep cliff or bold deception,easy
BOISTEROUS,Noisy; energetic; cheerful,hard
BOLSTER,To support or strengthen,hard
BONANZA,Unexpected source of wealth,hard
BOOMERANG,A curved throwing tool that returns to the thrower,easy
BOOTS,Footwear that covers the ankle or calf,easy
BOROUGH,Administrative district,hard
BOSTON,Massachusetts city famous for its role in American history,easy
BOTANY,The scientific study of plants,hard
BOTTLE,A container for holding liquids,easy
BOWIE,Glam rock icon known as the Starman,easy
BOWL,A deep round dish used for serving soup or cereal,easy
BRACKISH,Slightly salty water,hard
BRAZIL,Largest country in South America,easy
BREAD,Staple food made from flour,easy
BREAKFAST,The first meal of the day eaten in the morning,easy
BRIDGE,A structure built over a river,easy
BROADWAY,Famous theater district in New York City,easy
BRONZE,A third-place medal or the brown metal alloy,easy
BROOCH,Decorative jewelry pin,hard
BROWSER,Software used to access and navigate websites,easy
BUFFER,Protective barrier,hard
BUNKER,A reinforced shelter or defensive structure,hard
BUOY,A floating marker used at sea,easy
BURROW,Animal’s underground home,easy
BUTTER,A yellow spread made from cream,easy
BUTTERFLY,An insect with colorful wings,easy
CABLE,A wire or bundle of wires used to transmit data or power,easy
CACHE,Hidden storage,easy
CACOPHONY,A harsh discordant mixture of sounds,hard
CAIRO,The capital city of Egypt,easy
CAKE,A sweet baked dessert often served at celebrations,easy
CALCULATOR,An electronic device used for mathematical calculations,easy
CALCULUS,Advanced mathematics dealing with rates of change,hard
CALDERA,A large volcanic crater formed by collapse,hard
CALENDAR,A system for organizing days and months,easy
CALIFORNIA,The Golden State on the US west coast,easy
CAMELOT,Legendary castle and court of King Arthur,hard
CAMEO,A brief appearance by a famous person in a production,easy
CAMERA,A device used to take photographs,easy
CAMOUFLAGE,The use of disguise to blend into surroundings,hard
CANADA,Country known for the maple leaf and ice hockey,easy
CANDLE,A wax stick used for light,easy
CANDOR,The quality of being open and honest,hard
CANDY,A sweet confection made mostly from sugar,easy
CANOPY,Overhead covering,easy
CANVAS,A strong cloth used for painting or sails,easy
CANYON,A deep gorge typically carved by a river,easy
CAPILLARY,A tiny blood vessel in the body,hard
CAPRICIOUS,Given to sudden and unaccountable changes of mood,hard
CARAPACE,Hard outer shell of an animal,hard
CARAVAN,Group traveling together,easy
CARBON,The element that forms the chemical basis of all life,easy
CARNIVAL,A festive season with parades and entertainment,easy
CARNIVORE,Meat-eating animal,easy
CARROT,A long tapering orange root vegetable,easy
CARTOGRAPHY,The science of map-making,hard
CAST,The group of performers in a film or play,easy
CASTLE,A large fortified building,easy
CATACOMB,An underground burial site,hard
CATALYST,Substance that speeds up a chemical reaction,easy
CATHEDRAL,A large important church building,easy
CAUSEWAY,Raised road over water,hard
CAUSTIC,Sharply sarcastic or critical in a cutting way,hard
CAVERN,A large cave or chamber underground,easy
CELEBRATE,To mark a special occasion with festivities,easy
CELEBRITY,A famous and widely recognized public figure,easy
CELSIUS,A temperature scale used worldwide,easy
CENSUS,Population count,easy
CENTURY,A period of one hundred years,easy
CHAIR,A separate seat for one person with a back,easy
CHAMPION,The overall winner of a competition,easy
CHANNEL,A TV station that broadcasts programmes,easy
CHAOS,Complete disorder and confusion,easy
CHASM,A deep fissure in the earth's surface,hard
CHECKERS,Board game played with red and black discs,easy
CHEESE,A food made from milk curds,easy
CHEF,A trained professional cook who leads a kitchen,easy
CHEMISTRY,The study of substances and how they react,easy
CHER,Pop and film icon known as the Goddess of Pop,easy
CHERRY,A small round red or dark fruit with a stone,easy
CHESS,Ancient strategy board game of kings,easy
CHIAROSCURO,Strong contrast between light and dark in art,hard
CHICAGO,The Windy City on Lake Michigan in Illinois,easy
CHICANERY,The use of deception or trickery to achieve a goal,hard
CHICKEN,A bird commonly raised on farms for eggs and meat,easy
CHINA,The most populous country in East Asia,easy
CHIP,A tiny piece of semiconductor used in electronic devices,easy
CHISEL,A tool used for carving or cutting hard material,easy
CHLOROPHYLL,Green pigment in plants,hard
CHOCOLATE,A sweet treat made from cocoa,easy
CHOREOGRAPHY,The art of creating and arranging dance sequences,hard
CHORUS,A large group of singers performing together,easy
CHROME,The web browser developed by Google,easy
CHRONIC,Long-lasting condition,hard
CHRONICLE,A factual written account of events over time,hard
CHRONOLOGY,Arrangement of events in time order,hard
CINEMA,A building where films are screened for an audience,easy
CINEMATOGRAPHY,The art of photographing motion pictures,hard
CIPHER,A secret or disguised way of writing,hard
CIRCLE,A perfectly round flat shape,easy
CIRCUIT,A closed path through which electricity flows,hard
CIRCUMSPECT,Wary and unwilling to take risks,hard
CITADEL,A fortress protecting a city,hard
CLAN,Extended family group,easy
CLAY,A soft earth material used in pottery,easy
CLICK,The act of pressing a mouse button to select something,easy
CLIENT,A computer or app that requests data from a server,hard
CLIFF,A steep rock face,easy
CLIMATE,The long-term weather pattern of a region,easy
CLOCK,Device that measures and displays time,easy
CLOISTER,A covered walk in a monastery or convent,hard
CLOUD,Remote servers accessed over the internet for storage,easy
COACH,A person who trains and instructs a sports team,easy
COBAIN,Voice and face of the grunge generation,easy
COBALT,A metallic element often used as a blue pigment,hard
COCOON,A silky case spun by insects during development,easy
CODER,A person who writes computer programs,easy
COFFEE,A popular morning caffeine drink,easy
COGENT,Clear; logical; and convincing,hard
COGNIZANT,Having knowledge or being aware of something,hard
COLDPLAY,British band known for Yellow and Fix You,easy
COLLAGE,Art made from assembled pieces,easy
COMEDY,A genre of entertainment intended to make you laugh,easy
COMET,A ball of ice and rock that develops a tail near the sun,easy
COMETARY,Relating to a comet,hard
COMICON,A major convention celebrating comics; film; and gaming,easy
COMPASS,A tool for drawing circles or finding magnetic north,easy
COMPASSION,Sympathetic concern for others,easy
COMPLACENT,Showing smug or uncritical self-satisfaction,hard
COMPOST,Decayed organic material used as fertilizer,easy
COMPUTER,Electronic data processing machine,easy
CONCERT,A live musical performance,easy
CONCILIATORY,Intended to placate or pacify someone,hard
CONDUCTOR,A person who directs an orchestra or choir,easy
CONDUIT,Channel for conveying fluids,hard
CONE,A three-dimensional shape with a circular base tapering to a point,easy
CONFETTI,Tiny pieces of colored paper thrown at celebrations,easy
CONIFER,Cone-bearing tree,hard
CONSTELLATION,A group of stars forming a pattern,easy
CONUNDRUM,A confusing and difficult problem,hard
COOKIE,A small flat sweet baked biscuit,easy
COPIOUS,Abundant in supply or quantity,hard
COPPER,A reddish-brown metal used in electrical wiring,easy
COPY,To make an identical duplicate of a file or text,easy
CORAL,A marine organism forming reefs,easy
CORN,A tall cereal crop producing yellow kernels on a cob,easy
CORRIDOR,Long passageway,easy
COSMOS,The universe seen as a whole,hard
COSPLAY,The practice of dressing up as a fictional character,easy
COSTUME,Special clothing worn by an actor for a role,easy
COURT,The marked surface where racket sports or basketball are played,easy
COW,Large farm animal that produces milk,easy
CRATER,A bowl-shaped depression formed by impact or eruption,easy
CRAYON,Colored wax stick for drawing,easy
CRESCENT,Curved shape like a moon,easy
CRITIC,A person who evaluates and writes about artistic works,easy
CROSSFIRE,Gunfire from two or more directions,hard
CRYPTIC,Having a meaning that is mysterious or obscure,hard
CRYSTAL,A solid with a repeating atomic structure,easy
CUBE,A three-dimensional shape with six equal square faces,easy
CULTURE,Customs and social behavior of a society,easy
CULVERT,Tunnel for water under a road,hard
CUP,A small container with a handle used for drinking,easy
CURRENT,A flow of water or electricity,easy
CURSOR,The movable pointer controlled by a mouse on screen,easy
CURTAIN,It drops to signal the end of a theatrical act,easy
CUSTODIAN,A person responsible for maintenance or care,hard
CYCLING,Sport of racing on bicycles,easy
CYCLONE,A large-scale air mass rotating around a low-pressure center,hard
CYLINDER,A three-dimensional shape with two circular ends,easy
DAHLIA,Type of flowering plant,hard
DAISY,A small white-petaled flower with a yellow center,easy
DALLAS,Major city in north Texas,easy
DANDELION,Common yellow wildflower and weed,easy
DANGER,The possibility of suffering harm,easy
DATA,Facts and information collected for analysis,easy
DAY,A period of twenty-four hours,easy
DEARTH,A scarcity or lack of something,hard
DEBILITATE,To make someone weak and infirm,hard
DEBRIS,Scattered fragments from destruction,hard
DECADE,A period of ten years,easy
DECATHLON,An athletics competition with ten different events,hard
DECEMBER,The twelfth and final month; associated with Christmas,easy
DECIMAL,A number written using a point to separate whole and part,easy
DECOY,Something used to mislead,hard
DEFEAT,Failure to win against an opponent,easy
DEFERENCE,Humble submission and respect toward another,hard
DELETE,To permanently remove data from a computer,easy
DELICIOUS,Highly pleasing to the taste,easy
DELTA,A landform at the mouth of a river,easy
DELUGE,Severe flood,hard
DENSITY,Mass per unit volume of a substance,hard
DENVER,The Mile High City and capital of Colorado,easy
DERIVE,To obtain from a source,easy
DESERT,A dry sandy region with little rain,easy
DESKTOP,The main graphical interface of a computer screen,easy
DESPOT,Tyrannical ruler,hard
DESSERT,A sweet course served at the end of a meal,easy
DESTITUTE,Without the basic necessities of life,hard
DETOUR,Alternate route,easy
DETROIT,The Motor City of Michigan known for car manufacturing,easy
DIABETES,A chronic disease affecting blood sugar regulation,easy
DIAGRAM,Visual representation,easy
DIAMETER,The length of a straight line through the center of a circle,hard
DIAPHANOUS,Light; delicate; translucent,hard
DICE,Small cubes with numbered faces used in many board games,easy
DIDACTIC,Intended to teach or moralize,hard
DIFFIDENT,Lacking self-confidence; shy,hard
DIGITAL,Involving information stored as numbers on a computer,easy
DILIGENT,Having or showing care and effort in work,easy
DINNER,The main meal of the day usually eaten in the evening,easy
DIODE,Electronic component allowing one-way flow,hard
DIPLOMA,Certificate of graduation,easy
DIRECTOR,The person who oversees the creative vision of a film,easy
DISCOURSE,Formal discussion,hard
DISDAIN,The feeling that someone or something is unworthy,hard
DISNEY,Animation studio founded by Walt,easy
DISPARATE,Essentially different in kind; not comparable,hard
DIVERGE,To move apart,hard
DIVIDE,To split into equal parts; a core mathematical operation,easy
DNA,The molecule that carries an organism's genetic information,easy
DOCTOR,A person who treats the sick,easy
DOCUMENTARY,A film presenting factual information about real events,easy
DOLOR,A state of great sorrow or distress,hard
DOLPHIN,An intelligent marine mammal known for its agility,easy
DOMAIN,The unique address that identifies a website,hard
DOMINOES,A tile-based game played by matching numbered ends,easy
DONKEY,Sure-footed animal related to the horse,easy
DOOR,A hinged barrier used as an entrance,easy
DORMANT,Inactive but capable of becoming active,hard
DOWNLOAD,The process of receiving data from the internet,easy
DOWNSPOUT,Pipe carrying rainwater,easy
DRAGON,Fire-breathing mythical winged reptile,easy
DRAKE,Chart-topping Canadian rapper and singer,easy
DRAMA,A genre of intense storytelling for stage or screen,easy
DRAMATURGY,The study of dramatic composition and theatre,hard
DREAM,Images experienced while sleeping,easy
DRIFTER,One who moves without purpose,hard
DUBLIN,Capital city of Ireland,hard
DUCK,A water bird with a flat bill,easy
DUNE,A mound or ridge of sand formed by wind,easy
DUNGEON,An underground maze full of monsters in fantasy games,easy
DYLAN,Nobel Prize-winning folk rock singer-songwriter,easy
DYNASTY,Series of rulers from one family,easy
EAGLE,Large bird of prey,easy
EARTH,The planet we live on; third from the sun,easy
EBULLIENT,Cheerful and full of energy,hard
ECHO,A sound caused by reflection of sound waves,easy
ECLECTIC,Deriving ideas or style from diverse sources,hard
ECLIPSE,An event where one celestial body blocks another,easy
ECONOMY,System of production and consumption in a society,hard
ECOSYSTEM,A community of living organisms and their environment,easy
EDDY,Swirling current of water,hard
EDIFICE,A large imposing building,hard
EFFERVESCENT,Vivacious and enthusiastic,hard
EGREGIOUS,Outstandingly bad; shocking,hard
EGYPT,Country famous for its ancient pyramids and the Sphinx,easy
ELECTRON,A negatively charged particle orbiting an atom's nucleus,hard
ELEMENT,A pure substance made of only one type of atom,easy
ELICIT,Evoke or draw out a response or reaction,hard
ELIXIR,A magical or medicinal potion,easy
ELOQUENT,Fluent or persuasive in speaking or writing,hard
ELTON,The flamboyant Rocket Man of rock,easy
ELUCIDATE,To make something clear by explaining it,hard
ELVIS,The King of Rock and Roll,easy
EMAIL,Electronic messages sent and received via the internet,easy
EMBERS,Glowing remains of a dying fire,easy
EMBLEM,Symbol or badge,easy
EMINEM,Rapper known as The Real Slim Shady,easy
EMMY,Television industry award,easy
EMOJI,A small digital image used to express an emotion,easy
EMPATHY,The ability to understand the feelings of others,easy
EMULATE,To match or surpass by imitation,hard
ENCLAVE,Territory within another territory,hard
ENCORE,A repeat performance demanded by an appreciative audience,easy
ENCRYPTION,The process of converting data into a coded format,hard
ENDEAVOR,Serious attempt,easy
ENERVATE,To cause someone to feel drained of energy,hard
ENGRAVE,Carve into a surface,easy
ENIGMA,Something mysterious or puzzling,hard
ENIGMATIC,Difficult to interpret or understand,hard
ENTROPY,Measure of disorder,hard
ENZYME,Biological catalyst,hard
EPHEMERAL,Lasting for a very short time,hard
EPICENTER,Point above an earthquake origin,hard
EPIPHANY,Sudden realization,easy
EPISODE,A single installment of a TV series,easy
EPOCH,A particular period of time in history,hard
EQUALS,The symbol showing that two quantities have the same value,easy
EQUANIMITY,Mental calmness and composure in difficult situations,hard
EQUATOR,Imaginary line dividing Earth into north and south,easy
EQUESTRIAN,Relating to horse riding; a competitive horse sport,hard
ERODE,Gradually wear away,easy
EROSION,The gradual wearing away of land,hard
ESCARPMENT,Steep slope or cliff,hard
ESOTERIC,Intended for or understood by only a few,hard
ESTUARY,Where a river meets the sea,easy
ETHOS,Characteristic spirit of a culture,hard
EUPHEMISM,A mild word substituted for a harsh or blunt one,hard
EUROPA,An icy moon of Jupiter that may harbour a liquid ocean,hard
EVENING,The period of time at the end of the day before night,easy
EVEREST,The world's highest mountain peak,easy
EVOLUTION,The process by which living things change over generations,easy
EVOLVE,Develop gradually,easy
EXACERBATE,To make a problem or bad situation worse,hard
EXCAVATE,Dig out material,easy
EXCULPATE,To show or declare that someone is not guilty,hard
EXILE,Forced removal from home,easy
FABLE,A short story that teaches a moral lesson,easy
FACADE,The front face of a building,easy
FACETIOUS,Treating serious issues with inappropriate humor,hard
FACTION,Small organized dissenting group,hard
FAIRY,A small magical being with wings from folklore,easy
FALCON,A bird of prey known for speed,easy
FALLOW,Agricultural land left uncultivated to restore fertility,hard
FALSETTO,A very high artificial singing voice,hard
FAMILY,A group of people related by blood or marriage,easy
FANBASE,The collective body of fans of a celebrity,easy
FANDOM,The community of enthusiastic fans of a person or thing,easy
FANTASY,A genre involving magic; mythical creatures; and adventure,easy
FARMER,A person who grows crops,easy
FASTIDIOUS,Very attentive to accuracy and detail,hard
FATHOM,Unit of depth or to understand,hard
FAUNA,Animal life of a region,hard
FEBRUARY,The shortest month; usually 28 days,easy
FELINE,Cat-like animal,easy
FENCING,Sword-fighting combat sport,easy
FERAL,Wild and untamed,hard
FERMENTATION,Process of converting sugars into acids or alcohol,easy
FERRY,A boat used to transport passengers,easy
FESTIVAL,A period of public celebration,easy
FEUDAL,Relating to the medieval system of lords and vassals,hard
FEUDALISM,Medieval social system,hard
FIBER,High-speed internet delivered through glass cable,easy
FIELD,The grass surface where football or soccer is played,easy
FILE,A collection of digital data stored on a computer,easy
FINAL,The last game or event deciding the overall winner,easy
FIREFOX,An open-source web browser developed by Mozilla,easy
FIREWALL,A security system that monitors and controls network traffic,hard
FISH,Cold-blooded animal that lives and breathes in water,easy
FISSURE,A long narrow crack in rock or earth,hard
FJORD,A long narrow sea inlet between steep cliffs,hard
FLAMBOYANT,Tending to attract attention through confidence,hard
FLORA,Plant life of a region,hard
FLORIDA,The Sunshine State in the southeastern USA,easy
FLOURISH,To grow or develop in a healthy way,easy
FLOWER,The colorful part of a plant,easy
FLUX,Continuous change,hard
FOIBLE,A minor weakness or eccentricity in character,hard
FOIL,Thin sheet of metal,easy
FOLDER,A named container for organizing files on a computer,easy
FOLLOWER,Someone who subscribes to another user's online content,easy
FORAGE,Search for food,easy
FOREST,A large area covered with trees,easy
FORK,An eating utensil with two or more prongs,easy
FORMIDABLE,Inspiring fear or respect through power or size,hard
FORTNITE,Popular free-to-play battle royale game,easy
FORTUITOUS,Happening by a lucky accident,hard
FOSSIL,The preserved remains of an ancient organism,easy
FOUNTAIN,A structure that sends water into the air,easy
FRACTION,A number representing part of a whole,easy
FRAGMENT,Broken piece,easy
FRANCE,Country home to the Eiffel Tower and the Louvre,easy
FREEZER,A kitchen appliance that keeps food frozen,easy
FRESCO,Painting on wet plaster,hard
FRIDAY,The last day of the working week,easy
FRIDGE,A kitchen appliance used to keep food cold,easy
FRIEND,A person with whom one has a bond of mutual affection,easy
FRIVOLOUS,Not having any serious purpose or value,hard
FRODO,Hobbit who carried the One Ring to Mordor,easy
FURNACE,An enclosed structure for heating,easy
FUSION,Joining together,easy
GADGET,A small clever mechanical or electronic device,easy
GAGA,Lady known for eccentric pop and fashion,easy
GAINSAY,Deny or contradict a fact or statement,hard
GALAXY,A massive system of billions of stars held together by gravity,easy
GALLEY,A ship's kitchen,easy
GAMBIT,Opening move in a strategy,hard
GAMER,Someone who plays video games regularly,easy
GANDALF,The wise grey wizard from Middle-earth,easy
GARDEN,A plot of ground for growing plants,easy
GARGOYLE,A carved stone figure on buildings,hard
GARISH,Obtrusively bright and showy,hard
GARLIC,A pungent bulb used to flavor food,easy
GARNET,Dark red gemstone,hard
GARRULOUS,Excessively talkative,hard
GASOLINE,Fuel for engines,easy
GENE,The basic unit of heredity passed from parent to child,easy
GENOME,The complete set of genetic material in an organism,hard
GENRE,A category of artistic works sharing similar style,easy
GEOLOGY,The study of the Earth's physical structure and history,easy
GEOMETRY,Branch of mathematics dealing with shapes and space,hard
GEYSER,A hot spring that erupts periodically,easy
GHOST,The spirit of a dead person,easy
GIFT,An item given to someone without payment,easy
GIGABYTE,A unit of digital data equal to one billion bytes,easy
GLACIER,A slow-moving mass of ice,easy
GLASS,A transparent drinking container,easy
GLIDER,A light aircraft without an engine,hard
GLIMMER,Faint light,easy
GLOVES,Hand coverings for warmth or protection,easy
GLYPH,A symbolic figure or carved character,hard
GOAL,The structure into which a ball is scored; worth one point,easy
GOALKEEPER,The player who guards the goal in soccer or hockey,hard
GOLD,A precious yellow metal used in jewelry and currency,easy
GOLLUM,Wretched creature obsessed with the One Ring,easy
GONDOLA,Flat-bottomed boat,easy
GORGE,A narrow steep-sided valley,hard
GOSSAMER,Something very light; delicate; or insubstantial,hard
GRAMMY,Music industry's top award,easy
GRANITE,A hard igneous rock,easy
GRAPES,Small round fruits that grow in clusters,easy
GRATITUDE,The quality of being thankful,easy
GRATUITOUS,Uncalled for; lacking good reason,hard
GRAVITATE,Move toward something,hard
GRAVITY,The invisible force that attracts objects toward each other,easy
GREASE,Classic musical set in an American high school in the 1950s,easy
GREECE,Country regarded as the birthplace of the Olympic Games,easy
GREGARIOUS,Fond of company; sociable,hard
GROTTO,Small cave,hard
GUILELESS,Innocent and without deception,hard
GUITAR,A stringed musical instrument,easy
GYMNASTICS,Sport involving exercises for agility and balance,hard
HABERDASHERY,Store selling sewing goods,hard
HABITAT,Natural home of an organism,easy
HACKER,Someone who gains unauthorized access to computer systems,easy
HACKNEYED,Overused to the point of being unoriginal or trite,hard
HAIL,Frozen precipitation in small balls,easy
HALCYON,Calm and peaceful,hard
HALFTIME,The break in the middle of a sports match,easy
HALLOW,To honor or regard as holy,hard
HALLOWEEN,October 31st holiday,easy
HAMBURGER,A ground beef patty served in a bread bun,easy
HAMILTON,Award-winning musical by Lin-Manuel Miranda,easy
HAMLET,Small village,easy
HAMMER,A tool used to hit nails,easy
HAMSTER,Small furry pet rodent,easy
HANDBALL,Team sport where players throw a ball into a goal,easy
HAPPY,Feeling or showing joy and contentment,easy
HARANGUE,A lengthy and aggressive speech,hard
HARBINGER,A person or thing that signals an approaching event,hard
HARBOR,A sheltered area for ships,easy
HARDWARE,The physical components that make up a computer,easy
HARROW,To disturb or distress,hard
HARVEST,The process of gathering crops,easy
HASHTAG,A word preceded by the hash symbol used online,easy
HAT,A covering worn on the head,easy
HAUGHTY,Arrogantly superior and disdainful,hard
HAVEN,Place of safety,easy
HAWAII,US state made up of volcanic islands in the Pacific,easy
HEADLINE,The large title at the top of a news article,easy
HEART,The muscle that pumps blood around the body,easy
HEDONISTIC,Devoted to the pursuit of pleasure,hard
HELICOPTER,Aircraft with rotating blades,easy
HELIUM,The lightest noble gas used to fill party balloons,easy
HELIX,Spiral shape,hard
HELMET,A protective headpiece worn in contact sports,easy
HENDRIX,Left-handed guitar legend of the 1960s,easy
HERALD,Messenger or announcer,easy
HERB,A plant used for flavoring food or in medicine,easy
HERBIVORE,Plant-eating animal,easy
HERITAGE,Traditions and qualities passed down,easy
HERMIONE,The brightest witch of her age in Harry Potter,easy
HERO,A person admired for their courage or achievements,easy
HEXAGON,A polygon with six sides,easy
HIATUS,A pause or gap in a sequence,hard
HIBERNATE,Sleep through winter,easy
